EventResidentCounty,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,195857,33464,20639,334
Linn,85546,14255,6667,164
Scott,61984,11190,5349,85
Johnson,58337,9517,6229,36
Black Hawk,51954,10886,6470,134
Woodbury,44701,10331,7744,124
Dubuque,44027,9211,5856,91
Story,41491,6783,4259,21
Dallas,38372,6338,3750,57
Pottawattamie,34371,6302,3578,70
Warren,19653,2799,1438,11
Cerro Gordo,17659,3552,1622,44
Webster,16822,3579,2061,33
Clinton,15690,3286,1663,40
Des Moines,15467,2906,1630,20
Marshall,15461,3481,2250,46
Muscatine,15357,2873,1576,68
Jasper,12406,2176,1305,43
Wapello,11921,2555,1604,71
Sioux,11867,3696,2665,25
Buena Vista,11768,3048,2346,14
Lee,11257,2035,1098,17
Marion,10779,2043,1164,20
Plymouth,10027,2748,1831,42
Boone,9407,1368,799,11
Benton,9371,1703,728,19
Carroll,8660,1980,1245,22
Bremer,8585,1950,835,12
Washington,8386,1406,741,14
Pending Investigation,8318,663,2,0
Henry,7879,1828,1187,7
Dickinson,7661,1384,845,10
Jones,7551,2307,600,13
Mahaska,7342,1267,771,27
Buchanan,6918,1168,556,10
Winneshiek,6883,972,551,12
Crawford,6804,1744,1408,16
Fayette,6515,1035,461,10
Cedar,6492,1076,543,13
Jackson,6462,1443,795,13
Tama,6355,1540,1019,40
Poweshiek,6154,991,535,13
Wright,6129,1236,823,6
Hardin,6092,1154,562,10
Clay,5994,1172,597,4
Iowa,5976,949,475,12
Delaware,5942,1433,883,21
Mills,5849,1047,485,7
Floyd,5710,1048,485,16
Kossuth,5552,1063,517,6
Hamilton,5434,1109,513,9
Jefferson,5294,712,287,2
Madison,5163,681,396,4
Butler,5070,1018,465,6
Clayton,5029,1112,575,5
Union,4954,768,302,6
O'Brien,4895,1290,810,30
Harrison,4631,1074,723,29
Winnebago,4556,929,528,23
Page,4553,1132,458,4
Cass,4510,815,507,23
Allamakee,4272,804,423,11
Appanoose,4248,787,289,10
Hancock,4240,865,415,7
Calhoun,4210,1061,366,7
Cherokee,4207,838,454,4
Grundy,4186,862,380,11
Mitchell,4132,790,326,4
Guthrie,4093,752,436,15
Sac,4043,858,434,8
Louisa,4028,860,551,16
Chickasaw,3922,855,668,4
Shelby,3713,765,441,11
Franklin,3713,737,401,21
Humboldt,3529,769,398,5
Emmet,3527,762,453,24
Palo Alto,3357,655,353,4
Lyon,3304,1029,596,8
Clarke,3258,483,369,4
Greene,3135,525,209,0
Howard,3117,557,275,9
Montgomery,2963,464,211,11
Keokuk,2902,598,215,7
Monona,2719,433,277,2
Pocahontas,2703,558,263,4
Adair,2625,440,229,8
Worth,2607,362,164,0
Lucas,2520,323,215,6
Decatur,2378,316,183,0
Ida,2281,487,241,13
Davis,2218,462,217,9
Monroe,2192,444,269,12
Van Buren,1942,355,209,5
Fremont,1941,358,227,3
Taylor,1903,464,272,3
Osceola,1817,523,324,1
Audubon,1809,296,192,2
Ringgold,1716,211,104,2
Wayne,1627,298,156,7
Adams,1106,169,87,2
