County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,244269,49075,43742,513,457,56
Linn,104891,18878,17081,300,273,27
Scott,77441,16501,14929,189,178,11
Johnson,71376,12675,11638,65,61,4
Black Hawk,64042,14556,13255,265,250,15
Woodbury,53769,13380,12619,202,188,14
Dubuque,52032,11974,10952,185,174,11
Story,50186,9166,8419,43,38,5
Dallas,48122,9568,8500,84,73,11
Pottawattamie,43097,9466,8649,134,120,14
Warren,24937,4856,4149,66,62,4
Cerro Gordo,21749,4877,4478,76,64,12
Clinton,19861,4788,4332,76,69,7
Webster,19805,4810,4552,83,70,13
Muscatine,19251,4046,3683,85,76,9
Des Moines,19105,4094,3682,54,47,7
Marshall,18971,4474,4144,68,63,5
Jasper,16016,3464,3024,64,60,4
Wapello,15583,3661,3218,103,101,2
Sioux,14396,4664,4433,66,63,3
Lee,14354,3425,3033,46,34,12
Marion,13986,3248,2903,63,55,8
Buena Vista,13732,4024,3828,36,33,3
Boone,12253,2323,2082,25,23,2
Plymouth,12124,3589,3382,74,67,7
Benton,11270,2224,2003,52,42,10
Bremer,10980,2575,2361,52,46,6
Washington,10666,2310,2052,40,38,2
Carroll,10400,2609,2456,45,38,7
Henry,9925,2732,2544,33,33,0
Dickinson,9377,1930,1783,37,31,6
Mahaska,9377,2075,1822,43,39,4
Winneshiek,8995,1698,1452,26,22,4
Jones,8986,2812,2631,53,50,3
Pending Investigation,8923,1090,797,0,0,0
Buchanan,8470,1689,1528,26,24,2
Fayette,8312,1723,1514,27,24,3
Jackson,8114,2026,1836,37,34,3
Cedar,8103,1609,1438,20,19,1
Crawford,8038,2423,2220,34,30,4
Poweshiek,7993,1435,1270,28,26,2
Tama,7703,1963,1779,63,61,2
Clay,7525,1780,1604,25,20,5
Hardin,7487,1632,1493,33,30,3
Wright,7319,1696,1571,28,24,4
Iowa,7303,1339,1188,23,21,2
Delaware,7149,1818,1652,37,33,4
Kossuth,7080,1899,1630,52,46,6
Mills,7073,1429,1324,20,17,3
Jefferson,6949,1251,1146,31,27,4
Floyd,6915,1447,1321,38,30,8
Madison,6822,1337,1112,13,10,3
Hamilton,6731,1676,1522,38,37,1
Butler,6339,1551,1403,29,26,3
Clayton,6278,1568,1451,52,44,8
O'Brien,6044,1754,1613,58,54,4
Union,6014,1157,1047,30,25,5
Harrison,5930,1635,1447,67,63,4
Cass,5706,1207,1060,46,44,2
Winnebago,5509,1260,1131,30,25,5
Page,5496,1543,1416,17,16,1
Allamakee,5420,1351,1206,39,33,6
Cherokee,5400,1416,1314,35,29,6
Appanoose,5382,1162,1024,45,43,2
Hancock,5329,1354,1238,26,21,5
Grundy,5249,1261,1163,30,25,5
Guthrie,5045,1065,984,27,22,5
Mitchell,4994,1182,1089,39,38,1
Louisa,4906,1187,1088,40,33,7
Calhoun,4856,1258,1201,9,9,0
Sac,4833,1149,1068,17,17,0
Chickasaw,4830,1157,1095,12,11,1
Shelby,4796,1110,964,32,29,3
Franklin,4652,1076,962,19,18,1
Emmet,4570,1125,1037,37,36,1
Clarke,4347,883,734,18,18,0
Humboldt,4315,1099,1002,22,19,3
Lyon,4181,1412,1296,37,33,4
Palo Alto,4047,958,872,18,17,1
Howard,4025,942,780,20,16,4
Montgomery,4022,938,787,34,32,2
Greene,3728,715,662,8,8,0
Keokuk,3678,881,807,28,28,0
Lucas,3403,685,624,17,14,3
Monona,3400,736,606,21,20,1
Worth,3320,637,577,4,3,1
Adair,3248,721,646,25,19,6
Decatur,3198,526,470,7,7,0
Pocahontas,3190,799,751,17,17,0
Monroe,3027,857,763,26,21,5
Davis,2940,730,663,23,22,1
Ida,2934,795,691,31,30,1
Van Buren,2439,525,468,16,13,3
Fremont,2417,538,486,9,7,2
Audubon,2333,445,390,9,8,1
Taylor,2318,624,578,11,9,2
Osceola,2200,655,617,12,10,2
Ringgold,2160,482,411,16,15,1
Wayne,1990,431,392,21,17,4
Adams,1431,313,287,3,3,0
